브랜드,상품명,가격,리뷰수,상품평점,닉네임,리뷰,별점,날짜,맞춤정보,선택옵션,한줄평,스타일최고,구매욕상승,궁금증해소
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,so**,급해서 직진배송되는걸로 사씁니다 ..! 집에 그레이 츄리닝이랑 같이 입을려고 샀는데 다행히 색이 비슷해서 휘뚤마뚤 입을 것 같아여 기모도 얇아서 딱 ㄱㅊ은듯 기모안했으면 그냥 천쪼가리 마냥 얇았을 것 같애요 ..! 지퍼가 조금 싼티나보이는거 빼곤 다 만족..! 후드크기도 적당하고 길이는 생각보다 안짧아서  만족,4,22.11.23,169cm·45kg·상의 44,(기모)메란지FREE,"사이즈 ""정사이즈예요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,0,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,ji**,"66사이즈인데 많이 널널하고 편해요
날씬해보이지는 않고 어깨가 넓어보이긴하지만
그냥 밖에서 가볍게 걸쳐 입기 좋은 옷이에요
하얀색 트레이닝 바지가 있어서 하얀색상으로 구매했어요
예쁘게 잘 입을게요~",5,22.11.20,163cm·63kg·상의 66,오트밀FREE,"사이즈 ""정사이즈예요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,0,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,he**,"아방한 핏이라 귀여워요! 손목이나 아랫단 쭈리부분에 실밥이 좀 있긴한데 뜯어내면 되니까 별로 거슬리진 않아요! 후드도 넉넉해서 좋아요!
생각보다 정말 얇아요 여름에 입어도 될만큼 얇습니다",5,22.11.15,158cm·50kg·상의 55,멜란지FREE,"사이즈 ""생각보다 커요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,0,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,kk**,"흰색 바지랑 입으려고 샀는데 진짜 너무 귀여워요
근데 마감이 좀 왼벽하지 않아서 실도 많이 튀어나오고 지퍼도 잘 안 잠기더라구요
그래서 지퍼 안 열고 걍 후드 입고 벗듯이 입어용 *^0^*
그래도 만족합니다 진짜 너무 귀엽그든요
그리고 엄청 얇아서 날씨 애매할 때 반팔에 입기 딱 좋아용",5,22.11.13,163cm·62kg·상의 66,그린FREE,"사이즈 ""정사이즈예요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,0,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,jh**,"요즘 굉장히 잘 입고 다니는 옷임다! 두꺼운 외투 안에 귀욥게 입을 수 있는 크롭 후드집업이고, 휘뚜루마뚜루 입을 수 있어서 넘 조아용 다만 얇아서 지금 날씨에 단독으로 입기는 어려울 것 같습니다! 귀엽고 핏도 이뻐서 좋아용~",5,22.11.01,168cm·60kg·상의 55,멜란지FREE,"사이즈 ""생각보다 커요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,0,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,dn**,예뻐요! 단독으로 입기에는 좀 많이 얇구용 흐물흐물 핏인데 그래도 레이어드 해서 입기 편해서 너무 좋아요! 바시티 안에 입으려고 산건데 얇아서 넘 좋습니다 간절기에 딱! 얇은 느낌이라고 생각해주시면 대세용 넘 조아요 배송도 빠르고 멜란지 말고 다른색도 살려구요 히히,5,22.10.23,160cm·50kg·상의 55,멜란지FREE,"사이즈 ""정사이즈예요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,1,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,ch**,아방핏이라구 해서 시켰는데 완전 귀여워요 ㅠㅠ 재질도 보들보들 따숩고 마감처리도 생각보다 좋았어요!!! 길이감도 많이 안짧고 적당해서 입기 좋습니다 ㅎㅎㅎ 후리하게 입기 좋은거 같아요 색깔두 이쁘구용,5,22.10.19,164cm·53kg·상의 55,그린FREE,"사이즈 ""정사이즈예요""퀄리티 ""아주 만족해요""색감 ""화면과 비슷해요""",0,0,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,ba**,"엄청 얇아요! 안에 긴팔입고 이거 입구 또 뭐 도툼한 코트 입을때 입기 편한 느낌이랄까?
봄이나 초가을쯤 입기 좋고 요새는 좀 추워요 ㅠ
크롭 기장이라 다리 길어보이고 마감은 딱 그정도 가격에 비해 적정한 느낌이고 막 입기 좋아서 개인적으로 저는 좋았어요!",5,22.10.19,163cm·55kg·상의 55,메란지FREE,"사이즈 ""생각보다 커요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,0,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,uo**,"진짜 얇아요 그냥 여름 장마철에 입어도될정도
껴입기엔 나쁘지않으나 흐물거려서 모자핏이 안이쁨
딱 가격만큼하는옷 안에 보풀나오는게 싫어서 이걸로 골랐는데 그냥 저냥 입을만함 크롭기장은 배꼽까지옴",4,22.10.18,,블랙FREE,"사이즈 ""정사이즈예요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,0,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,lo**,녱 아주 기본적인 멜란지 후집이었습니다 약간 아방하고 모자도 꽤 커서 레이어드 해서 입기 굉장히 좋습니다요 기모는 없지만 아우터 속 아우터로써 역할을 잘 해낼 것 같습니다 휴 기본템 장만이 제일 어려운 것 같습니다. 투웨이라 아래 지퍼 열고 윗지퍼 조금 닫으면 꽤 요즘 사람 같습니다 그럼 이만!!,5,22.10.17,165cm·60kg·상의 66,멜란지FREE,"사이즈 ""정사이즈예요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,1,0
